A,B,C,D,E,F,G,H,I,J,K,L,M,N
구분,DVD,0,100,200,300,400,500,600,700,800,900,ETC,합계
2022-01-27,,0,0,0,0,0,0,13,0,0,0,0,13
2022-01-28,,0,0,0,0,0,0,11,0,0,0,0,11
2022-02-08,,0,0,0,0,0,0,6,0,0,0,0,6
2022-02-10,,0,0,0,0,0,0,7,0,0,0,0,7
2022-02-11,,0,0,0,0,0,0,6,0,0,0,0,6
2022-02-14,,0,0,0,0,0,0,6,0,0,0,0,6
2022-02-15,,0,0,0,0,0,0,6,0,0,0,0,6
2022-02-16,,0,0,0,0,0,0,7,0,0,0,0,7
2022-02-17,,0,0,0,0,0,0,6,0,0,0,0,6
2022-02-18,,4,0,0,0,0,2,1,3,0,0,0,10
2022-02-22,,0,0,0,0,0,0,8,0,0,0,0,8
2022-02-23,,0,0,0,0,0,0,6,0,0,0,0,6
2022-02-24,,0,0,0,0,0,0,7,0,0,0,0,7
2022-02-25,,0,0,0,0,0,0,8,0,0,0,0,8
2022-02-28,,0,0,0,0,0,0,10,0,0,0,0,10
2022-06-27,,0,0,0,0,0,0,1,0,0,0,0,1
2022-09-23,,0,0,0,0,0,0,1,0,0,0,0,1
,총계,4,0,0,0,0,2,110,3,0,0,0,119
,비율(%),3.36,0,0,0,0,1.68,92.44,2.52,0,0,0,100
구분,동서 단행본,0,100,200,300,400,500,600,700,800,900,ETC,합계
2022-01-03,,2,0,0,0,0,3,0,0,4,0,0,9
2022-01-04,,0,0,0,0,0,1,0,0,0,1,0,2
2022-01-05,,1,0,0,0,0,10,0,0,0,0,0,11
2022-01-06,,2,0,0,0,0,2,0,0,0,0,0,4
2022-01-07,,0,0,0,1,0,0,0,0,0,0,0,1
2022-01-10,,0,0,0,0,0,0,0,0,3,0,0,3
2022-01-11,,1,2,0,3,0,0,0,0,2,1,0,9
2022-01-12,,0,0,0,1,0,0,0,0,1,0,0,2
2022-01-13,,0,0,1,3,0,0,0,0,0,0,0,4
2022-01-17,,18,0,0,4,0,1,0,0,1,0,0,24
2022-01-18,,1,0,0,0,0,0,0,1,2,0,0,4
2022-01-19,,0,1,0,0,0,5,0,0,2,0,0,8
2022-01-21,,0,0,0,0,0,0,0,0,3,0,0,3
2022-01-24,,1,0,0,16,0,1,0,0,3,0,0,21
2022-01-25,,1,0,0,0,1,0,0,0,0,0,0,2
2022-01-26,,0,0,0,1,0,0,0,0,0,0,0,1
2022-01-27,,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-28,,0,1,0,0,0,2,0,0,0,0,0,3
2022-02-03,,2,3,0,0,0,0,0,0,4,0,0,9
2022-02-08,,8,0,0,0,0,0,3,0,1,0,0,12
2022-02-09,,0,0,0,0,0,0,0,0,10,0,1,11
2022-02-10,,2,2,0,0,2,1,0,0,1,1,0,9
2022-02-14,,0,0,0,0,0,0,0,3,0,0,0,3
2022-02-15,,0,0,1,0,0,0,0,0,1,0,0,2
2022-02-16,,0,1,0,0,0,0,0,0,0,0,0,1
2022-02-17,,1,0,1,0,0,0,0,0,3,0,0,5
2022-02-18,,0,0,0,1,1,0,0,0,0,1,0,3
2022-02-21,,1,1,0,0,0,0,0,0,1,0,0,3
2022-02-22,,0,0,0,0,0,3,0,0,1,0,0,4
2022-02-23,,4,2,0,0,0,6,0,0,0,0,0,12
2022-02-24,,0,0,0,0,0,0,0,0,1,0,0,1
2022-02-25,,0,0,1,0,0,1,0,0,2,0,0,4
2022-02-28,,2,0,1,0,0,0,0,0,0,0,0,3
2022-03-03,,1,0,0,2,0,0,0,0,0,0,0,3
2022-03-04,,1,3,0,1,0,0,0,0,0,0,0,5
2022-03-07,,1,0,0,0,0,0,0,0,0,0,0,1
2022-03-10,,2,0,0,0,0,0,0,0,6,0,0,8
2022-03-11,,0,0,0,0,0,0,0,0,0,1,0,1
2022-03-14,,10,0,0,2,0,6,3,0,0,0,0,21
2022-03-15,,5,0,0,1,0,1,0,0,0,0,0,7
2022-03-16,,1,3,0,1,0,2,0,0,2,0,0,9
2022-03-17,,0,1,0,2,0,4,0,0,0,0,0,7
2022-03-18,,1,0,0,0,2,3,0,0,0,0,0,6
2022-03-21,,3,3,0,2,0,3,0,0,0,0,0,11
2022-03-22,,0,1,0,0,0,1,0,0,1,0,0,3
2022-03-23,,2,1,0,2,2,6,0,0,3,0,0,16
2022-03-24,,0,0,0,1,0,0,0,0,0,0,0,1
2022-03-25,,1,0,0,0,0,1,0,0,0,0,0,2
2022-03-28,,0,0,0,1,0,0,0,0,0,0,0,1
2022-03-29,,3,0,0,0,2,1,0,0,0,0,0,6
2022-03-30,,1,0,0,0,1,1,0,0,0,0,0,3
2022-03-31,,3,0,0,0,0,2,0,0,0,0,0,5
2022-04-01,,4,0,0,0,0,2,0,0,4,0,0,10
2022-04-04,,4,1,0,1,0,3,1,0,2,0,0,12
2022-04-05,,3,0,0,1,0,3,0,0,0,0,0,7
2022-04-06,,1,0,0,0,0,0,0,0,1,0,0,2
2022-04-07,,1,2,0,2,0,1,0,0,0,0,0,6
2022-04-08,,3,0,0,2,0,7,0,0,0,0,0,12
2022-04-12,,2,5,0,0,0,1,0,0,0,0,0,8
2022-04-13,,2,0,0,2,0,0,0,0,1,0,0,5
2022-04-14,,1,0,0,0,0,1,0,0,0,0,0,2
2022-04-15,,0,0,0,2,1,3,1,0,2,0,0,9
2022-04-18,,3,0,0,0,0,4,0,0,0,0,0,7
2022-04-19,,6,0,0,0,0,0,0,0,1,0,0,7
2022-04-20,,0,0,0,0,0,1,0,0,2,0,0,3
2022-04-21,,2,0,0,2,0,0,0,0,0,0,0,4
2022-04-22,,3,0,0,0,0,0,0,0,0,0,0,3
2022-04-25,,2,0,0,0,1,1,0,0,0,0,0,4
2022-04-26,,0,0,0,0,0,3,0,0,3,0,0,6
2022-04-27,,0,0,0,0,2,1,0,0,5,0,0,8
2022-04-28,,2,1,0,2,0,2,0,0,5,0,0,12
2022-04-29,,5,1,0,1,0,5,0,0,5,0,0,17
2022-05-02,,2,4,0,1,0,2,0,0,7,1,0,17
2022-05-03,,5,0,0,1,0,2,0,0,15,1,0,24
2022-05-04,,2,0,0,1,0,3,0,0,0,0,0,6
2022-05-10,,7,0,0,1,1,2,0,2,4,1,0,18
2022-05-11,,1,0,0,0,0,2,0,0,4,0,0,7
2022-05-12,,2,0,0,2,0,3,0,1,0,0,0,8
2022-05-13,,3,0,0,0,0,1,0,0,0,0,0,4
2022-05-16,,2,2,0,0,2,1,0,1,6,1,0,15
2022-05-17,,2,1,0,1,0,2,0,0,2,2,0,10
2022-05-18,,0,0,0,0,1,1,0,0,3,0,0,5
2022-05-19,,5,1,1,4,1,3,0,0,0,0,0,15
2022-05-23,,7,0,0,0,0,6,0,0,10,0,0,23
2022-05-24,,3,1,0,1,1,0,0,0,4,1,0,11
2022-05-25,,0,0,0,1,0,4,0,0,2,0,0,7
2022-05-26,,2,1,0,0,0,2,0,0,4,0,0,9
2022-05-27,,4,1,0,0,0,1,0,0,0,0,0,6
2022-05-30,,0,2,0,1,1,3,0,0,4,0,0,11
2022-05-31,,2,2,0,6,0,2,0,0,1,0,0,13
2022-06-02,,1,0,0,1,0,2,0,0,2,0,0,6
2022-06-03,,1,1,0,1,0,3,0,0,2,0,0,8
2022-06-07,,0,0,0,0,0,1,0,0,4,2,0,7
2022-06-08,,2,0,0,0,0,3,0,0,0,0,0,5
2022-06-09,,1,0,0,0,0,4,0,0,2,0,0,7
2022-06-10,,2,0,0,7,0,6,0,0,0,0,0,15
2022-06-13,,0,0,0,2,0,2,0,0,3,0,0,7
2022-06-14,,0,0,0,1,0,1,0,0,1,0,0,3
2022-06-15,,0,0,0,1,0,3,0,0,0,0,0,4
2022-06-16,,2,0,0,3,0,1,0,0,0,0,0,6
2022-06-17,,0,1,0,0,0,1,0,0,1,0,0,3
